Country,GDP US$ 2015,GDP US$ 2016,GDP US$ 2017,GDP US$ 2018,GDP US$ 2019,% women in national parliaments 2015,% women in national parliaments 2016,% women in national parliaments 2017,% women in national parliaments 2018,% women in national parliaments 2019
Monaco,6261622101.0,6472990923.0,6431314957.0,7188238073.0,0.0,20.8333333333333,20.8333333333333,20.8333333333333,33.3333333333333,33.3333333333333
Moldova,7745231660.0,8071480541.0,9669759987.0,11457410264.0,11955435457.0,21.7821782178218,21.7821782178218,22.7722772277228,22.7722772277228,25.7425742574257
Madagascar,11323023787.0,11848615018.0,13176313233.0,13853433948.0,14083906357.0,20.5298013245033,20.5298013245033,19.205298013245,19.205298013245,15.8940397350993
Maldives,4109424800.0,4379136462.0,4735989972.0,5327457150.0,5729248472.0,5.88235294117647,5.88235294117647,5.88235294117647,5.88235294117647,4.59770114942529
Middle East & North Africa,3139160000000.0,3150180000000.0,3270330000000.0,3613740000000.0,3701390000000.0,16.384683882457697,17.085040983606564,16.302136317395743,16.679379608441412,16.363636363636378
Mexico,1170560000000.0,1077900000000.0,1157740000000.0,1220700000000.0,1258290000000.0,42.3694779116466,42.4,42.6,48.2,48.2
Marshall Islands,184599600.0,200558400.0,212881000.0,221278000.0,0.0,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,6.06060606060606
Middle income,26537400000000.0,26696300000000.0,29337400000000.0,31293100000000.0,32166000000000.0,21.833875760577335,22.22422494592647,22.473186693328483,23.05621463770762,23.41979124669623
North Macedonia,10064515432.0,10672471861.0,11307058382.0,12628854801.0,12694823394.0,33.3333333333333,33.3333333333333,37.5,38.3333333333333,39.1666666666667
Mali,13104869674.0,14020002871.0,15375605992.0,17172022684.0,17510141171.0,8.84353741496599,8.84353741496599,8.84353741496599,8.84353741496599,9.52380952380952
Malta,10682394998.0,11444483134.0,12747857570.0,14603581712.0,14786156563.0,12.8571428571429,12.8571428571429,11.9402985074627,11.9402985074627,14.9253731343284
Myanmar,67822772707.0,67184236747.0,68945867478.0,76168043982.0,76085852617.0,12.6934984520124,9.93071593533487,10.161662817552,10.161662817552,11.3163972286374
Middle East & North Africa (excluding high income),1435650000000.0,1454740000000.0,1428590000000.0,0.0,0.0,16.90191820484979,17.567159674011474,16.58140234727657,16.937424789410368,16.26865671641793
Montenegro,4054712083.0,4377033429.0,4856632399.0,5506766651.0,5494736901.0,17.2839506172839,23.4567901234568,23.4567901234568,23.4567901234568,28.3950617283951
Mongolia,11749620620.0,11186734674.0,11425755280.0,13108769496.0,13852850259.0,14.4736842105263,17.1052631578947,17.1052631578947,17.1052631578947,17.3333333333333
Northern Mariana Islands,931000000.0,1250000000.0,1601000000.0,1323000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Mozambique,15950969019.0,11936999283.0,13219084261.0,14717223207.0,14934159926.0,39.6,39.6,39.6,39.6,41.2
Mauritania,6166857629.0,6398744505.0,6758390729.0,7049169771.0,7593752450.0,25.1700680272109,25.1700680272109,25.1700680272109,20.2614379084967,20.2614379084967
